id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,PhoneticEngine.java,empty,PhonemeBuilder empty(final Languages.LanguageSet languages),71,72,2798,2799,IdentifierMutator-Literal,"""""",rule,0,0.59201354,<mask>,"PhonemeBuilder empty(final Languages.LanguageSet languages) {
            return new PhonemeBuilder(new Rule.Phoneme(<mask>, languages));
        }"
1,PhoneticEngine.java,empty,PhonemeBuilder empty(final Languages.LanguageSet languages),71,72,2798,2799,IdentifierMutator-Literal,"""""",name,1,0.06412517,<mask>,"PhonemeBuilder empty(final Languages.LanguageSet languages) {
            return new PhonemeBuilder(new Rule.Phoneme(<mask>, languages));
        }"
2,PhoneticEngine.java,empty,PhonemeBuilder empty(final Languages.LanguageSet languages),71,72,2798,2799,IdentifierMutator-Literal,"""""",this,2,0.052378338,<mask>,"PhonemeBuilder empty(final Languages.LanguageSet languages) {
            return new PhonemeBuilder(new Rule.Phoneme(<mask>, languages));
        }"
3,PhoneticEngine.java,empty,PhonemeBuilder empty(final Languages.LanguageSet languages),71,72,2798,2799,IdentifierMutator-Literal,"""""",null,3,0.05085778,<mask>,"PhonemeBuilder empty(final Languages.LanguageSet languages) {
            return new PhonemeBuilder(new Rule.Phoneme(<mask>, languages));
        }"
4,PhoneticEngine.java,empty,PhonemeBuilder empty(final Languages.LanguageSet languages),71,72,2798,2799,IdentifierMutator-Literal,"""""",rules,4,0.04503898,<mask>,"PhonemeBuilder empty(final Languages.LanguageSet languages) {
            return new PhonemeBuilder(new Rule.Phoneme(<mask>, languages));
        }"
5,PhoneticEngine.java,empty,PhonemeBuilder empty(final Languages.LanguageSet languages),71,72,2802,2810,IdentifierMutator-Variable,languages,"""""",1,0.13484327,<mask>,"PhonemeBuilder empty(final Languages.LanguageSet languages) {
            return new PhonemeBuilder(new Rule.Phoneme("""",<mask>));
        }"
6,PhoneticEngine.java,empty,PhonemeBuilder empty(final Languages.LanguageSet languages),71,72,2802,2810,IdentifierMutator-Variable,languages,null,2,0.09412886,<mask>,"PhonemeBuilder empty(final Languages.LanguageSet languages) {
            return new PhonemeBuilder(new Rule.Phoneme("""",<mask>));
        }"
7,PhoneticEngine.java,empty,PhonemeBuilder empty(final Languages.LanguageSet languages),71,72,2802,2810,IdentifierMutator-Variable,languages,empty,3,0.051006146,<mask>,"PhonemeBuilder empty(final Languages.LanguageSet languages) {
            return new PhonemeBuilder(new Rule.Phoneme("""",<mask>));
        }"
8,PhoneticEngine.java,empty,PhonemeBuilder empty(final Languages.LanguageSet languages),71,72,2802,2810,IdentifierMutator-Variable,languages,"''",4,0.05035795,<mask>,"PhonemeBuilder empty(final Languages.LanguageSet languages) {
            return new PhonemeBuilder(new Rule.Phoneme("""",<mask>));
        }"
9,PhoneticEngine.java,append,void append(final CharSequence str),91,92,3469,3481,IdentifierMutator-Variable,this.phonemes,rules,0,0.34900326,<mask>,"void append(final CharSequence str) {
            for (final Rule.Phoneme ph :<mask>) {
                ph.append(str);
            }
        }"
10,PhoneticEngine.java,append,void append(final CharSequence str),91,92,3469,3481,IdentifierMutator-Variable,this.phonemes,patterns,1,0.04486026,<mask>,"void append(final CharSequence str) {
            for (final Rule.Phoneme ph :<mask>) {
                ph.append(str);
            }
        }"
11,PhoneticEngine.java,append,void append(final CharSequence str),91,92,3469,3481,IdentifierMutator-Variable,this.phonemes,this,2,0.04314815,<mask>,"void append(final CharSequence str) {
            for (final Rule.Phoneme ph :<mask>) {
                ph.append(str);
            }
        }"
12,PhoneticEngine.java,append,void append(final CharSequence str),91,92,3469,3481,IdentifierMutator-Variable,this.phonemes,list,3,0.03360724,<mask>,"void append(final CharSequence str) {
            for (final Rule.Phoneme ph :<mask>) {
                ph.append(str);
            }
        }"
13,PhoneticEngine.java,append,void append(final CharSequence str),91,92,3469,3481,IdentifierMutator-Variable,this.phonemes,rule,4,0.03271503,<mask>,"void append(final CharSequence str) {
            for (final Rule.Phoneme ph :<mask>) {
                ph.append(str);
            }
        }"
14,PhoneticEngine.java,append,void append(final CharSequence str),91,92,3469,3472,IdentifierMutator-ThisAccess,this,rule,0,0.7314038,<mask>,"void append(final CharSequence str) {
            for (final Rule.Phoneme ph :<mask>.phonemes) {
                ph.append(str);
            }
        }"
