id,classname,method_name,method_sig,method_def_line,mut_location,mut_start,mut_end,mut_operator,orig_token,pred_token,pred_pos,pred_score,masked_expr,masked_seq
0,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1769,1771,MethodCallMutator,put,set,2,7.824727E-4,"optionMap.<mask>(option.getKey(), option)","OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.<mask>(option.getKey(), option);

        return this;
    }"
1,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1769,1771,MethodCallMutator,put,Put,3,6.6012575E-4,"optionMap.<mask>(option.getKey(), option)","OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.<mask>(option.getKey(), option);

        return this;
    }"
2,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1769,1771,MethodCallMutator,put,add,4,5.7980535E-4,"optionMap.<mask>(option.getKey(), option)","OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.<mask>(option.getKey(), option);

        return this;
    }"
3,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,IdentifierMutator-Variable,optionMap,options,0,0.79671246,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
4,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,IdentifierMutator-Variable,optionMap,map,1,0.025888897,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
5,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,IdentifierMutator-Variable,optionMap,option,2,0.024139209,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
6,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,IdentifierMutator-Variable,optionMap,values,3,0.018884718,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
7,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,IdentifierMutator-Variable,optionMap,Options,4,0.009708152,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
8,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,FieldReferenceMutator,optionMap,options,0,0.79671246,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
9,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,FieldReferenceMutator,optionMap,map,1,0.025888897,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
10,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,FieldReferenceMutator,optionMap,option,2,0.024139209,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
11,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,FieldReferenceMutator,optionMap,values,3,0.018884718,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
12,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1759,1767,FieldReferenceMutator,optionMap,Options,4,0.009708152,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option<mask>.put(option.getKey(), option);

        return this;
    }"
13,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1780,1785,MethodCallMutator,getKey,name,0,0.79135376,option.<mask>(),"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.<mask>(), option);

        return this;
    }"
14,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1780,1785,MethodCallMutator,getKey,key,1,0.14207852,option.<mask>(),"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.<mask>(), option);

        return this;
    }"
15,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1780,1785,MethodCallMutator,getKey,id,2,0.01607916,option.<mask>(),"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.<mask>(), option);

        return this;
    }"
16,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1780,1785,MethodCallMutator,getKey,label,3,0.007118568,option.<mask>(),"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.<mask>(), option);

        return this;
    }"
17,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1780,1785,MethodCallMutator,getKey,value,4,0.004620078,option.<mask>(),"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.<mask>(), option);

        return this;
    }"
18,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1773,1778,IdentifierMutator-Variable,option,Option,1,0.003893804,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(<mask>.getKey(), option);

        return this;
    }"
19,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1773,1778,IdentifierMutator-Variable,option,this,3,0.0024572252,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(<mask>.getKey(), option);

        return this;
    }"
20,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1773,1778,IdentifierMutator-Variable,option,options,4,0.0011117085,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(<mask>.getKey(), option);

        return this;
    }"
21,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1790,1795,IdentifierMutator-Variable,option,value,2,0.0030039214,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.getKey(),<mask>);

        return this;
    }"
22,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1790,1795,IdentifierMutator-Variable,option,options,3,7.30501E-4,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.getKey(),<mask>);

        return this;
    }"
23,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,55,1790,1795,IdentifierMutator-Variable,option,argument,4,2.0672928E-4,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.getKey(),<mask>);

        return this;
    }"
24,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,57,1815,1818,IdentifierMutator-ThisAccess,this,option,1,0.23719391,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.getKey(), option);

        return<mask>;
    }"
25,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,57,1815,1818,IdentifierMutator-ThisAccess,this,true,2,0.12301656,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.getKey(), option);

        return<mask>;
    }"
26,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,57,1815,1818,IdentifierMutator-ThisAccess,this,group,3,0.033706695,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.getKey(), option);

        return<mask>;
    }"
27,OptionGroup.java,addOption,OptionGroup addOption(Option option),51,57,1815,1818,IdentifierMutator-ThisAccess,this,false,4,0.016823858,<mask>,"OptionGroup addOption(Option option)
    {
        // key   - option name
        // value - the option
        optionMap.put(option.getKey(), option);

        return<mask>;
    }"
28,OptionGroup.java,getNames,Collection getNames(),64,67,2049,2054,MethodCallMutator,keySet,keys,0,0.5302001,optionMap.<mask>(),"Collection getNames()
    {
        // the key set is the collection of names
        return optionMap.<mask>();
    }"
29,OptionGroup.java,getNames,Collection getNames(),64,67,2049,2054,MethodCallMutator,keySet,values,1,0.3232029,optionMap.<mask>(),"Collection getNames()
    {
        // the key set is the collection of names
        return optionMap.<mask>();
    }"
30,OptionGroup.java,getNames,Collection getNames(),64,67,2049,2054,MethodCallMutator,keySet,names,2,0.059407324,optionMap.<mask>(),"Collection getNames()
    {
        // the key set is the collection of names
        return optionMap.<mask>();
    }"
31,OptionGroup.java,getNames,Collection getNames(),64,67,2049,2054,MethodCallMutator,keySet,get,3,0.025441693,optionMap.<mask>(),"Collection getNames()
    {
        // the key set is the collection of names
        return optionMap.<mask>();
    }"
32,OptionGroup.java,getNames,Collection getNames(),64,67,2049,2054,MethodCallMutator,keySet,name,4,0.012600126,optionMap.<mask>(),"Collection getNames()
    {
        // the key set is the collection of names
        return optionMap.<mask>();
    }"
33,OptionGroup.java,getNames,Collection getNames(),64,67,2039,2047,IdentifierMutator-Variable,optionMap,names,0,0.4919824,<mask>,"Collection getNames()
    {
        // the key set is the collection of names
        return<mask>.keySet();
    }"
34,OptionGroup.java,getNames,Collection getNames(),64,67,2039,2047,IdentifierMutator-Variable,optionMap,collection,1,0.14202616,<mask>,"Collection getNames()
    {
        // the key set is the collection of names
        return<mask>.keySet();
    }"
35,OptionGroup.java,getNames,Collection getNames(),64,67,2039,2047,IdentifierMutator-Variable,optionMap,collections,2,0.054069445,<mask>,"Collection getNames()
    {
        // the key set is the collection of names
        return<mask>.keySet();
    }"
36,OptionGroup.java,getNames,Collection getNames(),64,67,2039,2047,IdentifierMutator-Variable,optionMap,Collections,3,0.039414726,<mask>,"Collection getNames()
    {
        // the key set is the collection of names
        return<mask>.keySet();
    }"
37,OptionGroup.java,getNames,Collection getNames(),64,67,2039,2047,IdentifierMutator-Variable,optionMap,result,4,0.033093933,<mask>,"Collection getNames()
    {
        // the key set is the collection of names
        return<mask>.keySet();
    }"
38,OptionGroup.java,getNames,Collection getNames(),64,67,2039,2047,FieldReferenceMutator,optionMap,names,0,0.4919824,<mask>,"Collection getNames()
    {
        // the key set is the collection of names
        return<mask>.keySet();
    }"
39,OptionGroup.java,getNames,Collection getNames(),64,67,2039,2047,FieldReferenceMutator,optionMap,collection,1,0.14202616,<mask>,"Collection getNames()
    {
        // the key set is the collection of names
        return<mask>.keySet();
    }"
40,OptionGroup.java,getNames,Collection getNames(),64,67,2039,2047,FieldReferenceMutator,optionMap,collections,2,0.054069445,<mask>,"Collection getNames()
    {
        // the key set is the collection of names
        return<mask>.keySet();
    }"
